Episode,TotalReward,AvgVehicleQueue,PedestriansServed,AvgPedestrianWait
171,1402.0,0.908125,3,1.0
172,1277.0,0.825625,3,24.0
173,1353.0,0.80875,3,12.0
174,1376.0,0.70625,4,6.75
175,1056.0,0.41625,4,4.75
176,1266.0,0.7575,5,2.0
177,766.0,0.311875,5,1.4
178,1413.0,1.13625,4,7.25
179,1437.0,1.0525,3,2.6666666666666665
180,1082.0,0.719375,5,2.6
181,1292.0,0.58,5,2.0
182,1050.0,0.415,4,2.25
183,7.0,0.009375,5,1.0
184,1049.0,0.688125,4,10.75
185,1076.0,0.65,5,1.2
186,1313.0,0.9925,5,8.2
187,741.0,0.33125,3,6.333333333333333
188,380.0,0.285,6,22.5
189,1095.0,0.71875,3,35.666666666666664
190,1033.0,0.47875,6,1.1666666666666667
191,751.0,0.404375,3,2.0
192,1361.0,0.70625,2,1.0
193,1333.0,0.610625,5,7.8
194,1380.0,1.004375,4,1.25
195,1123.0,0.783125,3,16.0
196,1293.0,0.574375,6,3.1666666666666665
197,1349.0,0.6725,5,1.4
198,1427.0,1.161875,6,10.5
199,1094.0,0.4775,5,9.6
200,1434.0,0.7325,2,22.5
